*, JSSLP1, PNLNP, TY1, TY2
89, 1.000, 0.000, 0.000, 1.000
90, 0.000, 0.000, 0.000, 0.000
91, 0.500, 0.000, 0.500, 0.500
92, 1.000, 0.000, 0.500, 1.000
93, 0.867, 0.000, 0.400, 0.650
94, 0.000, 0.000, 0.143, 0.000
95, 0.000, 0.000, 0.000, 0.143
96, 0.667, 0.000, 0.667, 0.333
97, 1.000, 0.000, 0.000, 0.600
98, 1.000, 0.000, 1.000, 0.583
99, 0.000, 0.000, 1.000, 0.000
100, 0.000, 0.000, 0.000, 0.167
101, 0.000, 0.000, 0.000, 0.100
102, 0.688, 0.000, 0.500, 0.375
103, 1.000, 0.000, 0.000, 1.000
104, 0.143, 0.000, 1.000, 0.000
105, 1.000, 0.000, 0.000, 1.000
106, 0.000, 0.000, 0.000, 0.000
107, 0.063, 0.000, 0.000, 1.000
108, 1.000, 0.000, 0.000, 0.333
109, 0.750, 0.000, 1.000, 0.500
110, 0.000, 0.000, 0.000, 0.500
111, 0.000, 0.000, 0.000, 0.000
112, 0.000, 0.000, 0.000, 0.000
113, 0.000, 0.000, 0.000, 0.000
114, 1.000, 0.000, 1.000, 1.000
115, 1.000, 0.000, 0.750, 0.000
116, 0.000, 0.000, 0.500, 0.000
117, 0.000, 0.000, 0.000, 0.000
118, 1.000, 0.000, 0.333, 0.000
119, 0.000, 0.000, 0.100, 0.200
120, 0.000, 0.000, 0.000, 0.000
121, 0.000, 0.000, 0.000, 0.000
122, 0.143, 0.000, 1.000, 0.000
123, 1.000, 0.000, 0.000, 0.333
124, 0.000, 0.000, 0.000, 0.000
125, 1.000, 0.000, 0.063, 1.000
126, 0.000, 0.000, 0.000, 0.000
127, 0.000, 0.000, 0.000, 0.000
128, 0.000, 0.000, 0.000, 0.000
129, 0.111, 0.000, 0.000, 1.000
130, 0.000, 0.000, 0.000, 0.000
131, 0.000, 0.000, 1.000, 1.000
132, 0.000, 0.000, 0.000, 0.167
133, 0.500, 0.000, 1.000, 1.000
134, 1.000, 0.000, 1.000, 1.000
135, 0.500, 0.000, 0.000, 0.000
136, 1.000, 0.000, 0.000, 1.000
137, 0.143, 0.000, 0.000, 0.143
138, 0.833, 0.000, 0.000, 0.278
139, 1.000, 0.000, 1.000, 1.000
140, 1.000, 0.000, 0.500, 0.000
141, 1.000, 0.000, 1.000, 1.000
142, 0.708, 0.000, 0.000, 0.165
143, 1.000, 0.000, 0.000, 0.000
144, 1.000, 0.000, 0.000, 0.000
145, 0.333, 0.000, 0.333, 0.333
146, 0.000, 0.000, 0.000, 0.000
147, 0.250, 0.000, 0.000, 0.500
148, 1.000, 0.000, 0.500, 1.000
149, 1.000, 0.000, 1.000, 1.000
150, 0.571, 0.000, 0.500, 0.500
151, 1.000, 0.000, 0.000, 0.500
152, 0.444, 0.000, 0.111, 0.333
153, 1.000, 0.000, 0.000, 0.000
154, 0.250, 0.000, 0.000, 0.500
155, 0.000, 0.000, 0.000, 0.200
156, 0.200, 0.000, 1.000, 0.000
157, 1.000, 0.000, 1.000, 1.000
158, 0.000, 0.000, 0.000, 0.000
159, 0.000, 0.000, 0.000, 0.000
160, 0.000, 0.000, 0.000, 0.000
161, 0.000, 0.000, 0.250, 0.000
162, 0.000, 0.000, 0.333, 0.000
163, 0.000, 0.000, 0.000, 0.000
164, 0.333, 0.000, 0.000, 1.000
165, 1.000, 0.000, 0.000, 0.000
166, 0.000, 0.000, 0.000, 0.000
167, 0.500, 0.000, 1.000, 1.000
168, 1.000, 0.000, 1.000, 0.500
169, 1.000, 0.000, 1.000, 1.000
170, 1.000, 0.000, 1.000, 0.167
171, 0.000, 0.000, 0.000, 0.000
172, 1.000, 0.000, 1.000, 1.000
173, 1.000, 0.000, 1.000, 1.000
174, 1.000, 0.000, 0.111, 0.000
175, 1.000, 0.000, 0.000, 0.500
176, 1.000, 0.000, 0.000, 0.500
177, 0.000, 0.000, 0.000, 0.000
178, 0.625, 0.000, 1.000, 0.063
179, 1.000, 0.000, 1.000, 1.000
180, 0.500, 0.000, 0.000, 0.000
181, 1.000, 0.000, 1.000, 1.000
182, 1.000, 0.000, 0.000, 0.000
183, 1.000, 0.000, 0.000, 1.000
184, 0.000, 0.000, 0.000, 1.000
185, 0.000, 0.000, 0.125, 0.333
186, 1.000, 0.000, 0.000, 0.500
187, 1.000, 0.000, 0.000, 0.333
188, 0.000, 0.000, 0.125, 0.000
189, 0.000, 0.000, 0.000, 1.000
190, 1.000, 0.000, 0.500, 0.417
191, 1.000, 0.000, 0.500, 0.000
192, 0.000, 0.000, 0.000, 1.000
